Ref,Val,Package,PosX,PosY,Rot,Side
"A1","RaspberryPi_Pico","RaspberryPi_Pico_SMD",125.690000,-94.370000,180.000000,bottom
"C1","4.7 uF","C_0603_1608Metric",129.790000,-88.000000,90.000000,top
"C2","4.7 uF","C_0603_1608Metric",136.040001,-87.975000,90.000000,top
"C3","4.7 uF","C_0603_1608Metric",122.350000,-95.450000,0.000000,top
"C4","4.7 uF","C_0603_1608Metric",119.375000,-97.800000,90.000000,top
"C5","4.7 uF","C_0603_1608Metric",125.125000,-98.800000,90.000000,top
"C6","4.7 uF","C_0603_1608Metric",115.250000,-106.525000,-90.000000,top
"C7","4.7 uF","C_0603_1608Metric",121.500000,-106.500000,-90.000000,top
"C8","4.7 uF","C_0603_1608Metric",129.835000,-114.170000,90.000000,top
"C9","4.7 uF","C_0603_1608Metric",136.085001,-114.145000,90.000000,top
"D1","6.2 V_{z},  prefer better tolerances","SOT-23",133.090001,-78.562500,90.000000,top
"D2","6.2 V_{z},  prefer better tolerances","SOT-23",132.990001,-88.187500,-90.000000,top
"D3","1A 500 mV V_{F}","D_SOD-123F",122.275000,-93.550000,180.000000,top
"D4","1.8v","D_SOD-123",130.025000,-93.500000,0.000000,top
"D5","6.2 V_{z},  prefer better tolerances","SOT-23",133.135001,-104.732500,90.000000,top
"D6","6.2 V_{z},  prefer better tolerances","SOT-23",118.300000,-106.312500,90.000000,top
"D7","6.2 V_{z},  prefer better tolerances","SOT-23",133.035001,-114.357500,-90.000000,top
"D8","6.2 V_{z},  prefer better tolerances","SOT-23",118.200000,-115.937500,-90.000000,top
"R1","390, >1/10 W","R_0402_1005Metric",126.635000,-93.800000,0.000000,top
"R2","100, >1/32 W","R_0402_1005Metric",127.625000,-96.500000,0.000000,top
"RN1","100k","R_Array_Convex_4x0402",145.290000,-74.000000,180.000000,top
"RN2","470","R_Array_Convex_4x0402",139.290001,-87.500000,-90.000000,top
"RN3","100k","R_Array_Convex_4x0402",145.335000,-100.170000,180.000000,top
"RN4","470","R_Array_Convex_4x0402",112.000000,-107.000000,90.000000,top
"RN5","470","R_Array_Convex_4x0402",139.335001,-113.670000,-90.000000,top
"RN6","100k","R_Array_Convex_4x0402",106.000000,-120.500000,0.000000,top
"SW2","SW_Push","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",109.250000,-94.750000,180.000000,top
"U1","TXB0104PW (fit with U104)","TSSOP-14_4.4x5mm_P0.65mm",132.427501,-83.450000,180.000000,top
"U2","LM4040DBZ-5","SOT-23",130.562500,-96.750000,0.000000,top
"U3","LM2665M6","SOT-23-6",122.262500,-98.000000,0.000000,top
"U4","TXB0104PW (fit with U104)","TSSOP-14_4.4x5mm_P0.65mm",132.472501,-109.620000,180.000000,top
"U5","TXB0104PW (fit with U104)","TSSOP-14_4.4x5mm_P0.65mm",118.862500,-111.050000,0.000000,top
